"District.Name","X1990.PL.data.White.Not.Hispanic.or.Latino"
"Southwest",5603
"Southwest",11746
"Southwest",14607
"Southwest",9212
"Delridge Neighborhoods",2844
"Delridge Neighborhoods",2139
"Delridge Neighborhoods",2158
"Delridge Neighborhoods",7856
"Delridge Neighborhoods",3790
"Greater Duwamish",1755
"Greater Duwamish",808
"Greater Duwamish",1117
"Greater Duwamish",1921
"Greater Duwamish",1972
"Greater Duwamish",2966
"Southeast",5155
"Southeast",4277
"Southeast",3640
"Southeast",2559
"Central",4870
"Central",259
"Central",4483
"East",7376
"East",12494
"East",3672
"East",4731
"East",4864
"Northeast",7353
"Northeast",11847
"Northeast",18766
"Northeast",12266
"Northeast",8500
"North",9265
"North",10132
"North",8526
"Northwest",9737
"Northwest",5808
"Northwest",18753
"Northwest",11057
"Northwest",7188
"Ballard",9607
"Ballard",9644
"Ballard",11831
"Ballard",3873
"Lake Union",11833
"Lake Union",11116
"Lake Union",4496
"Magnolia/Queen Anne",10858
"Magnolia/Queen Anne",7310
"Magnolia/Queen Anne",26683
"Downtown",2544
"Downtown",1284
"Downtown",1272
